ts,activity,id,tag
124.612169,2,96,f
124.612169,2,97,s
125.015516,3,92,f
125.015516,4,92,s
125.015516,3,93,s
125.065815,1,100,f
125.065815,1,101,s
125.252878,6,91,f
125.288754,1,101,f
125.288754,1,102,s
125.373603,3,93,f
125.373603,3,94,s
125.382418,3,94,f
125.382418,3,95,s
125.771296,3,95,f
125.771296,3,96,s
127.031233,3,96,f
127.371887,1,102,f
127.371887,1,103,s
127.46737,1,103,f
127.46737,1,104,s
127.75711,4,92,f
127.75711,5,92,s
127.75711,4,93,s
128.146495,1,104,f
128.146495,1,105,s
128.511963,2,97,f
128.511963,3,97,s
128.511963,2,98,s
128.637762,2,98,f
128.637762,2,99,s
129.172253,2,99,f
129.172253,2,100,s
129.384023,2,100,f
129.384023,2,101,s
129.906118,2,101,f
129.906118,2,102,s
130.081349,3,97,f
130.081349,3,98,s
130.088298,4,93,f
130.088298,4,94,s
130.150714,1,105,f
130.150714,1,106,s
130.155945,4,94,f
130.155945,4,95,s
130.851226,4,95,f
130.851226,4,96,s
130.862622,4,96,f
130.862622,4,97,s
130.945501,5,92,f
130.945501,6,92,s
130.945501,5,93,s
131.034765,2,102,f
131.034765,2,103,s
131.14822,5,93,f
131.14822,5,94,s
131.279028,6,92,f
131.279028,6,93,s
131.529026,3,98,f
131.529026,3,99,s
131.637194,1,106,f
131.637194,1,107,s
131.654551,2,103,f
131.654551,2,104,s
131.722167,6,93,f
131.898552,2,104,f
131.898552,2,105,s
132.021639,2,105,f
132.021639,2,106,s
132.049225,2,106,f
132.062095,5,94,f
132.062095,6,94,s
132.062095,5,95,s
132.726715,1,107,f
132.726715,1,108,s
132.726715,2,107,s
132.729489,1,108,f
132.970959,1,109,s
133.228998,2,107,f
133.228998,2,108,s
133.278274,2,108,f
133.408725,6,94,f
133.505183,3,99,f
133.505183,3,100,s
134.022956,5,95,f
134.022956,6,95,s
134.022956,5,96,s
134.068767,5,96,f
134.134811,4,97,f
134.134811,5,97,s
134.134811,4,98,s
134.603683,5,97,f
134.959305,3,100,f
134.959305,3,101,s
136.174617,3,101,f
136.174617,3,102,s
136.181892,6,95,f
136.181892,6,96,s
136.957638,4,98,f
136.957638,5,98,s
136.957638,4,99,s
136.963692,3,102,f
136.963692,3,103,s
137.209786,3,103,f
137.209786,3,104,s
137.36143,4,99,f
137.36143,4,100,s
137.507696,3,104,f
137.507696,3,105,s
137.541741,6,96,f
137.541741,6,97,s
137.64511,4,100,f
137.64511,4,101,s
138.179813,5,98,f
138.179813,5,99,s
138.252443,3,105,f
138.252443,3,106,s
138.265402,5,99,f
138.265402,5,100,s
138.376134,6,97,f
138.376134,6,98,s
138.399717,3,106,f
138.399717,3,107,s
138.746318,4,101,f
138.746318,4,102,s
138.888642,3,107,f
138.888642,3,108,s
138.977456,3,108,f
139.156821,1,109,f
139.156821,1,110,s
139.156821,2,109,s
139.631698,1,110,f
139.631698,1,111,s
139.766765,2,109,f
139.766765,3,109,s
139.766765,2,110,s
140.233462,4,102,f
140.233462,4,103,s
140.895248,1,111,f
140.895248,1,112,s
140.969791,5,100,f
140.969791,5,101,s
141.18005,5,101,f
141.18005,5,102,s
141.239078,4,103,f
141.239078,4,104,s
141.293159,2,110,f
