id,activity,ts
8780,5,2943.5
8784,4,2943.5
8789,1,2943.5
8784,5,2943.6
8786,3,2944.1
8790,1,2944.1
8786,5,2944.1
8787,3,2944.2
8791,1,2944.2
8787,5,2944.3
8785,4,2944.7
8792,1,2944.7
8785,5,2944.7
8789,4,2944.8
8793,1,2944.8
8789,5,2944.9
8792,4,2944.9
8794,1,2944.9
8792,5,2945
8793,4,2945
8795,1,2945
8793,5,2945
8783,2,2945.2
8796,1,2945.2
8783,5,2945.2
8790,3,2945.5
8797,1,2945.5
8790,5,2945.5
8794,4,2946.5
8798,1,2946.5
8794,5,2946.6
8795,4,2947.2
8799,1,2947.2
8795,5,2947.2
8788,2,2947.3
8800,1,2947.3
8798,4,2947.3
8801,1,2947.3
8788,5,2947.3
8798,5,2947.3
8791,3,2947.4
8802,1,2947.4
8791,5,2947.4
8797,3,2947.7
8803,1,2947.7
8797,5,2947.7
8802,3,2947.9
8804,1,2947.9
8802,5,2947.9
8799,4,2948
8805,1,2948
8799,5,2948
8796,2,2949.4
8806,1,2949.4
8796,5,2949.5
8801,4,2949.6
8807,1,2949.6
8801,5,2949.6
8805,4,2950.2
8808,1,2950.2
8805,5,2950.3
8803,3,2950.9
8809,1,2950.9
8803,5,2950.9
8804,3,2951
8810,1,2951
8804,5,2951
8809,3,2951.1
8811,1,2951.1
8809,5,2951.1
8807,4,2951.3
8812,1,2951.3
8807,5,2951.3
8810,3,2951.4
8813,1,2951.4
8810,5,2951.4
8800,2,2951.4
8814,1,2951.4
8800,5,2951.4
8811,3,2951.7
8815,1,2951.7
8811,5,2951.7
8813,3,2952.1
8816,1,2952.1
8813,5,2952.1
8808,4,2952.3
8817,1,2952.3
8815,3,2952.3
8818,1,2952.3
8808,5,2952.4
8815,5,2952.4
8812,4,2952.6
8819,1,2952.6
8812,5,2952.6
8816,3,2953
8820,1,2953
8816,5,2953
8806,2,2953.2
8821,1,2953.2
8806,5,2953.2
8817,4,2953.7
8822,1,2953.7
8817,5,2953.7
8818,3,2954.8
8823,1,2954.8
8818,5,2954.8
8814,2,2955
8824,1,2955
8814,5,2955.1
8820,3,2955.3
8825,1,2955.3
8820,5,2955.4
8823,3,2956.4
8826,1,2956.4
8823,5,2956.4
8821,2,2956.7
8827,1,2956.7
8821,5,2956.8
8819,4,2957.1
8828,1,2957.1
8822,4,2957.1
8829,1,2957.1
8819,5,2957.1
8822,5,2957.2
8828,4,2957.4
8830,1,2957.4
8828,5,2957.4
8829,4,2957.6
8831,1,2957.6
8829,5,2957.6
8825,3,2958.7
8832,1,2958.7
8825,5,2958.7
8824,2,2958.9
8833,1,2958.9
8824,5,2958.9
8830,4,2959.5
8834,1,2959.5
8830,5,2959.6
8831,4,2960.7
8835,1,2960.7
8831,5,2960.7
8827,2,2961
8836,1,2961
8827,5,2961.1
8826,3,2962.6
8837,1,2962.6
8826,5,2962.6
8832,3,2962.6
8838,1,2962.6
8832,5,2962.7
8834,4,2962.7
8839,1,2962.7
8835,4,2962.7
8840,1,2962.7
8834,5,2962.8
8835,5,2962.8
8833,2,2963.2
8841,1,2963.2
8833,5,2963.3
8837,3,2963.3
8842,1,2963.3
8837,5,2963.3
8838,3,2963.4
8843,1,2963.4
8838,5,2963.4
8839,4,2963.7
8844,1,2963.7
8839,5,2963.8
8840,4,2963.8
8845,1,2963.8
8840,5,2963.9
8842,3,2963.9
8846,1,2963.9
8842,5,2964
8836,2,2965.4
8847,1,2965.4
8836,5,2965.4
8843,3,2966.8
8848,1,2966.8
8843,5,2966.8
8844,4,2966.9
8849,1,2966.9
8844,5,2967
8845,4,2967
8845,5,2967
8850,1,2967.1
8841,2,2967.4
8851,1,2967.4
8841,5,2967.4
8849,4,2968
8852,1,2968
8849,5,2968
8850,4,2968.1
8853,1,2968.1
8850,5,2968.1
8852,4,2968.1
8852,5,2968.2
8854,1,2968.2
8853,4,2968.5
8855,1,2968.5
8853,5,2968.6
8854,4,2968.7
8856,1,2968.7
8854,5,2968.7
8847,2,2969
8857,1,2969
8847,5,2969.1
8846,3,2969.2
8858,1,2969.2
8846,5,2969.2
8848,3,2969.3
8859,1,2969.3
8848,5,2969.3
8858,3,2969.3
8860,1,2969.3
8858,5,2969.3
8855,4,2969.4
8861,1,2969.4
8855,5,2969.4
8856,4,2970.1
8862,1,2970.1
8856,5,2970.1
8859,3,2970.2
8863,1,2970.2
8859,5,2970.2
8861,4,2970.5
8864,1,2970.5
8861,5,2970.5
8851,2,2971.2
8865,1,2971.2
8851,5,2971.2
8860,3,2972.3
8866,1,2972.3
8860,5,2972.3
8857,2,2973
8867,1,2973
8857,5,2973
8862,4,2973.5
8868,1,2973.5
8862,5,2973.6
8864,4,2974
8869,1,2974
8864,5,2974
8868,4,2974.3
8870,1,2974.3
8863,3,2974.3
8868,5,2974.3
8871,1,2974.3
8863,5,2974.3
8866,3,2974.6
8872,1,2974.6
8866,5,2974.6
8869,4,2974.7
8873,1,2974.7
8869,5,2974.7
8871,3,2975
8874,1,2975
8871,5,2975
8865,2,2975.2
8875,1,2975.2
8865,5,2975.2
8870,4,2975.3
8876,1,2975.3
8870,5,2975.3
8867,2,2977.3
8877,1,2977.3
8867,5,2977.3
8872,3,2977.4
8878,1,2977.4
8872,5,2977.4
8875,2,2979.4
8879,1,2979.4
8875,5,2979.4
8874,3,2979.6
8880,1,2979.6
8874,5,2979.6
8878,3,2979.7
